"id","temp","humidity","c_on"
"344","26.5","72.3","2019-01-26 13:35:09.257740"
"345","26.5","72.2","2019-01-26 13:35:10.479166"
"346","26.5","72.1","2019-01-26 13:35:12.205099"
"347","26.5","72.3","2019-01-26 13:35:18.367281"
"348","26.5","72.4","2019-01-26 13:35:22.139620"
"349","26.5","72.5","2019-01-26 13:35:28.936769"
"350","26.5","72.4","2019-01-26 13:35:29.719000"
"351","26.4","72.2","2019-01-26 13:35:32.086435"
"352","26.4","72.3","2019-01-26 13:35:32.813573"
"353","26.5","72.4","2019-01-26 13:35:33.542784"
"354","26.5","72.5","2019-01-26 13:35:38.953191"
"355","26.5","72.4","2019-01-26 13:35:41.329387"
"356","26.4","72.4","2019-01-26 13:35:42.037445"
"357","26.5","72.4","2019-01-26 13:35:42.741057"
"358","26.4","72.4","2019-01-26 13:35:45.593914"
"359","26.5","72.4","2019-01-26 13:35:48.775828"
"360","26.4","72.3","2019-01-26 13:35:54.115115"
"361","26.4","72.4","2019-01-26 13:35:55.137904"
"362","26.5","72.4","2019-01-26 13:35:55.853170"
"363","26.4","72.4","2019-01-26 13:35:59.135647"
"364","26.5","72.5","2019-01-26 13:35:59.846047"
"365","26.5","72.6","2019-01-26 13:36:00.542697"
"366","26.4","72.5","2019-01-26 13:36:01.787906"
"367","26.5","72.6","2019-01-26 13:36:02.937390"
"368","26.5","72.7","2019-01-26 13:36:04.754354"
"369","26.4","72.5","2019-01-26 13:36:05.472733"
"370","26.5","72.5","2019-01-26 13:36:06.186039"
"371","26.4","72.5","2019-01-26 13:36:07.919524"
"372","26.5","72.6","2019-01-26 13:36:08.649180"
"373","26.5","72.5","2019-01-26 13:36:09.360940"
"374","26.4","72.4","2019-01-26 13:36:10.081128"
"375","26.5","72.5","2019-01-26 13:36:10.842209"
"376","26.4","72.4","2019-01-26 13:36:11.735887"
"377","26.5","72.4","2019-01-26 13:36:13.433652"
"378","26.5","72.3","2019-01-26 13:36:17.764418"
"379","26.5","72.4","2019-01-26 13:36:18.478129"
"380","26.5","72.5","2019-01-26 13:36:19.705272"
"381","26.4","72.5","2019-01-26 13:36:24.013757"
"382","26.5","72.7","2019-01-26 13:36:25.337423"
"383","26.5","72.4","2019-01-26 13:36:29.521407"
"384","26.5","72.3","2019-01-26 13:36:32.002031"
"385","26.4","72.2","2019-01-26 13:36:32.675010"
"386","26.5","72.4","2019-01-26 13:36:33.410306"
"387","26.5","72.2","2019-01-26 13:36:34.146794"
"388","26.4","72","2019-01-26 13:36:34.850085"
"389","26.5","72","2019-01-26 13:36:35.581478"
"390","26.5","72.1","2019-01-26 13:36:36.295666"
"391","26.4","71.9","2019-01-26 13:36:42.141903"
"392","26.5","72","2019-01-26 13:36:43.372689"
"393","26.4","72","2019-01-26 13:36:44.177199"
"394","26.5","72","2019-01-26 13:36:44.902675"
"395","26.5","72.1","2019-01-26 13:36:46.646439"
"396","26.4","71.9","2019-01-26 13:36:49.934470"
"397","26.5","72.1","2019-01-26 13:36:50.633742"
"398","26.4","71.9","2019-01-26 13:36:53.913873"
"399","26.5","72.1","2019-01-26 13:36:57.190101"
"400","26.5","72.3","2019-01-26 13:37:00.989529"
"401","26.4","72.3","2019-01-26 13:37:01.674974"
"402","26.4","72.2","2019-01-26 13:37:03.436309"
"403","26.4","72.3","2019-01-26 13:37:04.456110"
"404","26.4","72.6","2019-01-26 13:37:11.306738"
"405","26.4","72.7","2019-01-26 13:37:12.037588"
"406","26.4","72.6","2019-01-26 13:37:13.220144"
"407","26.4","72.7","2019-01-26 13:37:14.058366"
"408","26.4","72.6","2019-01-26 13:37:16.329935"
"409","26.4","72.7","2019-01-26 13:37:17.047069"
"410","26.4","72.6","2019-01-26 13:37:20.817112"
"411","26.5","72.5","2019-01-26 13:37:21.559079"
"412","26.4","72.4","2019-01-26 13:37:22.267319"
"413","26.4","72.3","2019-01-26 13:37:22.983054"
"414","26.5","72.4","2019-01-26 13:37:25.246056"
"415","26.4","72.3","2019-01-26 13:37:25.955979"
"416","26.4","72.4","2019-01-26 13:37:26.683401"
"417","26.5","72.4","2019-01-26 13:37:27.694049"
"418","26.4","72.6","2019-01-26 13:37:30.972968"
"419","26.5","73.1","2019-01-26 13:37:31.770979"
"420","26.4","73","2019-01-26 13:37:32.522336"
"421","26.5","73.1","2019-01-26 13:37:35.790754"
"422","26.5","73.3","2019-01-26 13:37:36.504218"
"423","26.5","73.2","2019-01-26 13:37:37.434721"
"424","26.5","73","2019-01-26 13:37:38.141463"
"425","26.5","72.7","2019-01-26 13:37:43.977017"
"426","26.5","72.8","2019-01-26 13:37:45.558136"
"427","26.5","72.7","2019-01-26 13:37:47.881197"
"428","26.5","72.6","2019-01-26 13:37:53.217834"
"429","26.5","73.2","2019-01-26 13:37:53.914353"
"430","26.5","74.3","2019-01-26 13:37:54.632686"
"431","26.5","73.9","2019-01-26 13:37:57.909942"
"432","26.5","73.5","2019-01-26 13:37:58.615963"
"433","26.6","73.6","2019-01-26 13:38:02.332003"
